User,Card,Year,Month,Day,Time,Amount,Use Chip,Card number,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
0.0,0.0,2002.0,9.0,1.0,6:21,0.0,Swipe Transaction,4685370244169283.0,La Verne,CA,91750.0,5300.0,,No
0.0,0.0,2002.0,9.0,1.0,6:42,0.0,Swipe Transaction,5254338671695551.0,Monterey Park,CA,91754.0,5411.0,,No
0.0,0.0,2002.0,9.0,2.0,6:22,0.0,Swipe Transaction,5764133440846689.0,Monterey Park,CA,91754.0,5411.0,,No
0.0,0.0,2002.0,9.0,2.0,17:45,0.0,Swipe Transaction,5179211547158075.0,Monterey Park,CA,91754.0,5651.0,,No
0.0,0.0,2002.0,9.0,3.0,6:23,0.0,Swipe Transaction,5172118224009293.0,La Verne,CA,91750.0,5912.0,,No
0.0,0.0,2002.0,9.0,3.0,13:53,0.0,Swipe Transaction,5867727546265982.0,Monterey Park,CA,91755.0,5970.0,,No
0.0,0.0,2002.0,9.0,4.0,5:51,0.0,Swipe Transaction,5052440378992955.0,Monterey Park,CA,91754.0,5411.0,,No
0.0,0.0,2002.0,9.0,4.0,6:09,0.0,Swipe Transaction,5454198029567960.0,Monterey Park,CA,91754.0,5411.0,,No
0.0,0.0,2002.0,9.0,5.0,6:14,0.0,Swipe Transaction,4086369836640263.0,Monterey Park,CA,91754.0,5411.0,,No
0.0,0.0,2002.0,9.0,5.0,9:35,0.0,Swipe Transaction,5400182448188961.0,La Verne,CA,91750.0,7538.0,,No
0.0,0.0,2002.0,9.0,5.0,20:18,0.0,Swipe Transaction,4215026986628625.5,La Verne,CA,91750.0,5814.0,,No
0.0,0.0,2002.0,9.0,5.0,20:41,0.0,Online Transaction,4921858287042321.0,ONLINE,,,4900.0,,No
0.0,0.0,2002.0,9.0,6.0,6:16,0.0,Swipe Transaction,5047582065725201.0,Mira Loma,CA,91752.0,5541.0,,No
0.0,0.0,2002.0,9.0,7.0,6:16,0.0,Swipe Transaction,315253583009303.0,Monterey Park,CA,91754.0,5411.0,,No
0.0,0.0,2002.0,9.0,7.0,6:34,0.0,Swipe Transaction,4699958965879610.0,Monterey Park,CA,91755.0,5942.0,,No
0.0,0.0,2002.0,9.0,7.0,9:39,0.0,Swipe Transaction,4973318740626868.0,La Verne,CA,91750.0,7538.0,,No
0.0,0.0,2002.0,9.0,8.0,6:10,0.0,Swipe Transaction,5400982759283574.0,La Verne,CA,91750.0,5912.0,,No
0.0,0.0,2002.0,9.0,8.0,6:38,0.0,Swipe Transaction,5679478018180576.0,La Verne,CA,91750.0,5411.0,,No
0.0,0.0,2002.0,9.0,8.0,13:48,0.0,Swipe Transaction,314664594016772.0,Monterey Park,CA,91754.0,5411.0,,No
